generation,Unicité externe,Unicité interne,IntDiv,Fraction valide,SNN,Nbr_Smiles,rate,file,best_step
29.0,0.3636363636363636,0.9166666666666666,0.443740678323329,1.0,0.9217563776100268,12.0,1.1079361342672995,Tg_score,29.0
78.0,0.6923076923076923,1.0,0.5272786203173676,1.0,0.8040192614839773,13.0,1.625053797915076,Tanimoto,78.0
83.0,0.7692307692307693,1.0,0.4425405928054847,1.0,0.8580834610621846,13.0,1.7026997724548785,RandTanimoto,83.0
26.0,0.75,1.0,0.4855541545927285,1.0,0.8671984152329247,4.0,1.0103909893952532,MeanTanimoto,26.0
42.0,0.5238095238095238,1.0,0.4817426482707706,1.0,0.9096935570528236,21.0,1.805379173948872,TgTanimoto_Mean,42.0
34.0,0.5,1.0,0.4497104813222659,1.0,0.9037960789831276,24.0,1.8995624883661408,TgTanimoto_GeoMean,34.0
31.0,0.4782608695652174,0.9583333333333334,0.4858405190355972,1.0,0.9076545205457685,24.0,1.8417287387090644,TgTanimoto_HarmMean,31.0
62.0,0.7857142857142857,1.0,0.4579088245884058,1.0,0.8188092071726818,28.0,2.909700844200413,TgTanimoto_ExpMean,62.0
50.0,0.5769230769230769,1.0,0.4636303874518853,1.0,0.8934199942145498,26.0,2.2033840780689222,TgRanTanimoto_Mean,50.0
65.0,0.5142857142857142,1.0,0.4644917344726508,1.0,0.8922427101622932,35.0,2.5036740758783007,TgRanTanimoto_GeoMean,65.0
98.0,0.6086956521739131,1.0,0.450270475848482,1.0,0.8891162335262648,23.0,2.10114247181707,TgRanTanimoto_HarmMean,98.0
61.0,0.4285714285714285,0.9333333333333332,0.4305375886814432,1.0,0.9055914859890224,15.0,1.3184055119945293,TgRanTanimoto_ExpMean,61.0
42.0,0.4,1.0,0.450825157814312,1.0,0.919091294798842,15.0,1.2982559020829785,TgMeanTanimoto_Mean,42.0
37.0,0.4074074074074074,0.9310344827586208,0.4596386153508063,1.0,0.9241263785951678,29.0,1.860306911519712,TgMeanTanimoto_GeoMean,37.0
40.0,0.5652173913043478,1.0,0.4817367891604373,1.0,0.8980509312369108,23.0,2.006542264708396,TgMeanTanimoto_HarmMean,40.0
38.0,0.6666666666666666,0.9230769230769232,0.4681179308219343,1.0,0.8668783390765427,13.0,1.5505254958464765,TgMeanTanimoto_ExpMean,38.0
2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6,HighTg,2.0
80.0,0.64,0.8928571428571429,0.4117762065904885,1.0,0.8756076297943277,28.0,2.454651621195808,TgHighTg_Mean,80.0
69.0,0.5652173913043478,1.0,0.3926948003178552,1.0,0.8911177502310089,23.0,1.9894271850404701,TgHighTg_GeoMean,69.0
45.0,0.5454545454545454,0.9166666666666666,0.47898208756586147,1.0,0.9080968678189687,12.0,1.3345321852767298,TgHighTg_HarmMean,45.0
35.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6,TgHighTg_ExpMean,35.0
